Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
BOOT_BUTTON,47.77,104.7,179.5,BUTTON_CUSYOMV1,MYBUTTON,
C1,139.47,5.84,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,66.37,104.47,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,91.44,52.74,90,CPH3225A,EAGLE-LTSPICE_C0402,
C1_BAT,105.4,50.14,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,104.92,37.64,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,121.12,40.45,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,138.25,5.82,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,119.54,52.67,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,116.84,39.37,90,100uF TANT,RCL_CT3528,
C4,91.43,31.32,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,140.07,52.21,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,27.86,104.51,90,1uF,EAGLE-LTSPICE_C0402,
C5_USB,148.62,55.91,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,52.12,104.59,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,76.57,26.43,180,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,85.33,49.41,0,100nF,EAGLE-LTSPICE_C0402,
C9,5.76,100.35,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,62.84,104.7,180.4,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,110.57,50.25,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,49.96,97.47,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,144.4,52.32,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,11.95,99.41,180,PGB1010603MR,DIOC1608X36N,
D11,35.92,32.81,90,PGB1010603MR,DIOC1608X36N,
D12,30.41,32.98,90,PGB1010603MR,DIOC1608X36N,
D2,105.89,40.39,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,76.7,36.21,0,MBR0530,SOD3716X135N,
D4,85.38,30.82,0,MBR0530,SOD3716X135N,
D5,85.47,26.66,0,MBR0530,SOD3716X135N,
D6,67.68,22.26,0,PGB1010603MR,DIOC1608X36N,
D7,85.34,65.89,181.4,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,37.85,32.79,90,PGB1010603MR,DIOC1608X36N,
D9,39.59,50.71,90,PGB1010603MR,DIOC1608X36N,
EPD_C1,83.46,21.45,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C10,71.98,21.45,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C11,62.39,18.46,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C12,60.68,18.64,90,1uF/50F,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C2,81.82,21.46,270.4,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C5,80.14,21.47,270,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C6,78.44,21.48,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C7,76.74,21.5,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C8,75.4,21.5,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C9,73.18,21.42,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
IC1,46.07,97.67,0,BD5229G-TR,SOT95P280X125-5N,
IC4,111.76,40.64,0,XC6220A331MR-G,SOT95P280X120-5N,
J1,77.47,14.17,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,165.15,54.27,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,165.78,19.13,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,7.82,89.5,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,76.81,30.83,90,68uH,IND_4828-WE-TPC_WRE,
PFMF.050.1,144.53,40.46,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,123.75,45.84,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,72.38,26.97,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,58.27,17.17,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,20.88,43.01,90,100K,RESC1005X40,
R10,30.54,29.68,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,110.54,48.49,180,200,RESC1005X40,
R1_PINH,142.11,5.88,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,85.26,64.12,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,103.62,40.19,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,58.8,11.6,0,2.2,RESC1005X40,
R2-PINH,140.82,5.84,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,90.01,62.74,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,145.05,45.55,180,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,145,47.12,180,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,114.05,46.09,270,2K,RESC1005X40,
R3,60.67,10.64,269.4,0.47,RESC1005X40,
R4,61.05,15.79,0,100k,RESC1005X40,
R5,37.19,50.64,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,7.96,100.22,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,37.67,29.78,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,36.16,29.63,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,66.94,27.1,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,23.07,104.67,180,BUTTON_CUSYOMV1,MYBUTTON,
R_BOOT,44.06,104.52,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,89.45,52.72,270,,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,59.07,104.38,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,68.4,27.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,19.55,104.48,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,139.71,11.43,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,58.27,10.35,180,,SJ,
TP1,152.5,4.04,0,TPTP20R,TP20R,
TP10,0.98,69.14,0,TPTP20R,TP20R,
TP11,45.09,2.63,0,TPTP20R,TP20R,
TP12,30.24,45.4,0,TPTP20R,TP20R,
TP13,148.17,4.13,0,TPTP20R,TP20R,
TP14,133.63,64.83,0,TPTP20R,TP20R,
TP15,0.79,76.85,0,TPTP20R,TP20R,
TP16,39.62,3.31,0,TPTP20R,TP20R,
TP17,50.11,2.66,0,TPTP20R,TP20R,
TP2,165.65,40.02,0,TPTP20R,TP20R,
TP3,76.98,96.91,0,TPTP20R,TP20R,
TP4,133.67,61.73,0,TPTP20R,TP20R,
TP5,80.2,96.79,0,TPTP20R,TP20R,
TP6,0.75,73.05,0,TPTP20R,TP20R,
TP7,57.37,29.78,0,TPTP20R,TP20R,
TP8,165.54,36.31,0,TPTP20R,TP20R,
TP9,83.36,96.87,0,TPTP20R,TP20R,
U1,41.91,57.15,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,14.78,55.88,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,82.55,57.15,270,DS3231SN#,SOIC127P1032X265-16N,
U4,125.14,52.66,0,MAX17048G+T10,SON50P200X200X80-9N,
U5,115.57,49.53,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
